scriptNumber,scriptType,name,dialog,QuizNumber,select1,select2,select3,select4,answer,image,cuttoon,비고
0,0,나,곰세마리가,,,,,,,1,,
0,0,나,한 집에있어,,,,,,,2,,
0,0,나,아빠곰,,,,,,,3,,
0,0,나,엄마곰,,,,,,,4,,
0,0,나,애기곰,,,,,,,5,,
0,0,나,아빠곰은,,,,,,,6,,
0,0,나,뚱뚱해,,,,,,,7,,
0,0,나,엄마곰은,,,,,,,8,,
0,0,나,날씬해,,,,,,,9,,
0,0,나,애기곰은,,,,,,,1,,
0,0,나,너무귀여워,,,,,,,2,,
0,0,나,으쓱으쓱,,,,,,,3,,
1,0,나,잘한다,,,,,,,4,,
1,quiz,나,자 이제 퀴즈 풀 시간이야!,0,,,,,,0,,
1,0,나,첫번째 문제,1,,,,,,0,,
1,choice,나,아빠곰은?,1,뚱뚱해,날씬해,너무귀여워,,1,0,,
1,0,나,정답이야!,0,,,,,,0,,
1,0,나,두번째문제,2,,,,,,0,,
1,choice,나,엄마곰은?,2,뚱뚱해,날씬해,너무귀여워,,2,0,,
1,0,나,정답이야!,0,,,,,,0,,
1,0,나,마지막문제,3,,,,,,0,,
1,choice,나,애기곰은?,3,뚱뚱해,날씬해,너무귀여워,,3,0,,
1,0,나,정답이야!,0,,,,,,0,,
1,over,나,정말 대단한데? 모든 퀴즈를 맞췄어!,,,,,,,0,,
1,0,나,그럼 다음에 또봐!,,,,,,,0,,
0,end,0,0,,,,,,,1,,
2,0,엄마,코끼리 아져씨는,,,,,,,1,,
2,0,엄마,코가 손이래,,,,,,,2,,
2,0,엄마,과자를 주면은,,,,,,,3,,
2,0,엄마,코로받지요,0,,,,,,4,,
2,quiz,엄마,자 이제 퀴즈 풀 시간이야!,0,,,,,,5,,
2,0,엄마,첫번째 문제,0,,,,,,6,,
2,choice,엄마,코끼리 아져씨 손은?,4,발,꼬리,코,,3,7,,
2,0,엄마,정답이야!,4,,,,,,8,,
2,over,엄마,정말 대단한데? 모든 퀴즈를 맞췄어!,4,,,,,,9,,
2,0,엄마,그럼 다음에 또봐!,4,,,,,,10,,
2,end,0,0,,,,,,,11,,
